epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,8601.27,0.19681,0.21869,0.83552,0.9979,1,0.995,0.99264,0.17008,0.12262,0.72986,0.000339673,0.000339673,0.000339673
79,8703.6,0.19812,0.21632,0.83181,0.99775,1,0.995,0.99367,0.17644,0.1202,0.73033,0.000325526,0.000325526,0.000325526
80,8835.6,0.2007,0.20439,0.83565,0.9978,1,0.995,0.99206,0.15987,0.1091,0.72886,0.000311379,0.000311379,0.000311379
81,8994.14,0.19561,0.19985,0.83022,0.99784,1,0.995,0.9913,0.16687,0.11415,0.73021,0.000297232,0.000297232,0.000297232
82,9075.03,0.19363,0.20185,0.82818,0.99781,1,0.995,0.99094,0.16325,0.10953,0.72801,0.000283085,0.000283085,0.000283085
83,9157.29,0.19145,0.20765,0.82964,0.99786,1,0.995,0.99247,0.16395,0.10939,0.72899,0.000268938,0.000268938,0.000268938
84,9280.63,0.18162,0.1979,0.82935,0.99848,1,0.995,0.99348,0.16847,0.1141,0.73179,0.000254791,0.000254791,0.000254791
85,9357.94,0.18396,0.19114,0.82892,0.99789,1,0.995,0.99215,0.16091,0.11329,0.7309,0.000240644,0.000240644,0.000240644
86,9440.63,0.18141,0.19864,0.83725,0.99779,1,0.995,0.99128,0.16827,0.10845,0.7312,0.000226497,0.000226497,0.000226497
87,9536.59,0.1819,0.19032,0.83135,0.99797,1,0.995,0.99123,0.15954,0.10674,0.72819,0.000212349,0.000212349,0.000212349
88,9628.47,0.18348,0.18942,0.83179,0.99855,1,0.995,0.99218,0.15835,0.10984,0.72923,0.000198202,0.000198202,0.000198202
89,9678.33,0.18541,0.19143,0.83056,0.99798,1,0.995,0.99286,0.15324,0.1077,0.7266,0.000184055,0.000184055,0.000184055
90,9777.03,0.18347,0.18625,0.83002,0.99801,1,0.995,0.99205,0.15677,0.10606,0.72832,0.000169908,0.000169908,0.000169908
91,9873.92,0.13913,0.10789,0.78458,0.99857,1,0.995,0.99173,0.15488,0.10825,0.72759,0.000155761,0.000155761,0.000155761
92,9960.92,0.13868,0.1068,0.77741,0.99847,1,0.995,0.99133,0.16443,0.12233,0.72944,0.000141614,0.000141614,0.000141614
93,10037.4,0.14051,0.11071,0.78476,0.99915,1,0.995,0.99204,0.16538,0.11346,0.73093,0.000127467,0.000127467,0.000127467
94,10112.5,0.14116,0.10508,0.78295,0.99478,0.99756,0.995,0.9903,0.16229,0.11189,0.72873,0.00011332,0.00011332,0.00011332
95,10189.3,0.13498,0.10385,0.77931,0.99832,1,0.995,0.99146,0.15855,0.11017,0.72899,9.91726e-05,9.91726e-05,9.91726e-05
96,10247.9,0.12932,0.10232,0.79216,0.99922,1,0.995,0.99145,0.15462,0.11001,0.7284,8.50255e-05,8.50255e-05,8.50255e-05
97,10327.9,0.12722,0.09856,0.7776,0.99935,1,0.995,0.99133,0.15398,0.10477,0.7275,7.08784e-05,7.08784e-05,7.08784e-05
98,10399.4,0.12282,0.0972,0.77983,0.99861,1,0.995,0.9905,0.15625,0.09889,0.72687,5.67313e-05,5.67313e-05,5.67313e-05
99,10488.2,0.12075,0.09389,0.78403,0.99862,1,0.995,0.99217,0.14912,0.09805,0.72682,4.25842e-05,4.25842e-05,4.25842e-05
100,10573.2,0.12069,0.09213,0.78049,0.99861,1,0.995,0.99202,0.14768,0.09519,0.7259,2.84371e-05,2.84371e-05,2.84371e-05
